date,open,high,low,close,volume,oscillator,phase,amplitude,phase_quadrant,signal,position,signal_strength,confidence
2015-10-13,74.24,74.28,73.66,56.1699,8390200,1.6204474999999903,-1.2511960310715062,5.1575872666846445,Quadrante 2 (Salita -> Picco),BUY,1,21.758304893715852,LOW
2015-10-14,74.21,74.61,73.9,56.2457,8479200,1.8099274999999935,-1.1711547159287274,4.651714987404136,Quadrante 2 (Salita -> Picco),HOLD,1,19.586361293667174,LOW
2015-10-15,74.64,74.84,74.03,56.2911,8607400,1.9829250000000016,-1.1167289199335158,4.520781222855621,Quadrante 2 (Salita -> Picco),HOLD,1,19.024202101339224,LOW
2015-10-16,74.72,75.04,74.34,56.7686,9578900,2.152127500000006,-1.0409788568992466,4.25846926270426,Quadrante 2 (Salita -> Picco),HOLD,1,17.897975568671175,LOW
2015-10-19,74.65,75.19,74.53,56.9657,7292200,2.2362600000000015,-0.9847190383080711,4.043159066652406,Quadrante 2 (Salita -> Picco),HOLD,1,32.89168598787559,MEDIUM
2015-10-20,74.87,75.05,74.16,56.4124,8531900,2.2140950000000004,-0.9407576791446375,3.7579518736537505,Quadrante 2 (Salita -> Picco),HOLD,1,30.620985212296866,MEDIUM
2015-10-21,73.75,74.54,73.5,56.277,8302100,2.1438725000000076,-0.9324479878061039,3.597887267490488,Quadrante 2 (Salita -> Picco),HOLD,1,29.439301480335157,LOW
2015-10-22,73.86,75.61,73.61,57.2406,14080900,2.141369999999995,-0.9205022814545327,3.5369963955080523,Quadrante 2 (Salita -> Picco),HOLD,1,29.167456081660347,LOW
2015-10-23,76.76,78.45,76.31,58.9077,16451200,2.2688300000000083,-0.8851131442034201,3.5831065576079775,Quadrante 2 (Salita -> Picco),HOLD,1,29.677042070522823,LOW
2015-10-26,77.0,77.9,77.0,59.2595,11464700,2.428930000000001,-0.8232363743390392,3.572736751324211,Quadrante 2 (Salita -> Picco),HOLD,1,29.481999945475597,LOW
2015-10-27,77.12,77.36,76.81,59.1066,9423400,2.5840000000000174,-0.7529238721750078,3.5412166394912785,Quadrante 2 (Salita -> Picco),HOLD,1,28.981773685605656,LOW
2015-10-28,77.39,77.54,75.69,58.5101,10178400,2.653215000000003,-0.6887427574897086,3.4366036170935574,Quadrante 2 (Salita -> Picco),HOLD,1,27.932791439942882,LOW
2015-10-29,76.75,77.19,76.24,58.9001,8230700,2.7643824999999964,-0.6232346557177693,3.404433942836322,Quadrante 2 (Salita -> Picco),HOLD,1,27.585531499751827,LOW
2015-10-30,76.98,77.14,76.38,58.4107,9547700,2.793367499999988,-0.543626838585279,3.263896131994041,Quadrante 2 (Salita -> Picco),HOLD,1,26.376292084984044,LOW
2015-11-02,76.57,76.77,76.05,58.5789,7152900,2.7930900000000065,-0.5004218370676861,3.1834430031691703,Quadrante 2 (Salita -> Picco),HOLD,1,25.754149610827007,LOW
2015-11-03,76.3,77.42,75.96,58.923,8013200,2.897064999999998,-0.42288968809073574,3.176930918159358,Quadrante 2 (Salita -> Picco),HOLD,1,25.694431993087864,LOW
2015-11-04,77.03,77.14,76.51,58.9307,6375400,2.986734999999996,-0.3172299720575029,3.1435903062654504,Quadrante 2 (Salita -> Picco),HOLD,1,25.31476718624686,LOW
2015-11-05,77.09,77.26,75.96,58.4183,6860900,2.9385850000000033,-0.17585711110475993,2.9846169041130857,Quadrante 2 (Salita -> Picco),HOLD,1,23.766194166584565,LOW
2015-11-06,75.88,76.0,74.69,57.7912,9483500,2.678587499999992,-0.05834282526025121,2.6831527768992673,Quadrante 2 (Salita -> Picco),HOLD,1,21.084067822888194,LOW
2015-11-09,75.19,75.63,74.93,57.6612,8607200,2.3668374999999955,0.024027362494497474,2.3675208687696423,Quadrante 3 (Picco -> Discesa),SELL,0,18.499930366690364,LOW
2015-11-10,75.38,76.24,75.23,57.9442,6551000,2.1179400000000044,0.06261653667996003,2.1220988359886,Quadrante 3 (Picco -> Discesa),HOLD,0,16.649867911026003,LOW
2015-11-11,76.02,76.43,75.92,58.0895,5295900,1.9519075000000043,0.13382673242496956,1.9695178262597919,Quadrante 3 (Picco -> Discesa),HOLD,0,15.572128506277325,LOW
2015-11-12,75.67,76.01,74.66,57.0953,7678600,1.6749624999999924,0.23179227258825152,1.7209882066925781,Quadrante 3 (Picco -> Discesa),HOLD,0,13.550284173616138,LOW
2015-11-13,74.64,74.98,73.95,56.56,8468800,1.4011250000000004,0.27312070031298064,1.4550584649813771,Quadrante 3 (Picco -> Discesa),HOLD,0,11.353237441869819,LOW
2015-11-16,74.25,75.33,74.01,57.5847,7410600,1.2007724999999922,0.3123517123594424,1.2618279018050147,Quadrante 3 (Picco -> Discesa),HOLD,0,9.75808581768615,LOW
2015-11-17,75.33,76.01,74.87,57.4089,8761800,0.9441099999999878,0.3662725985189297,1.0111830327904596,Quadrante 3 (Picco -> Discesa),HOLD,0,7.706064389903656,LOW
2015-11-18,74.98,75.96,74.81,58.0436,6447100,0.7356075000000004,0.2934613646845564,0.7684604505455576,Quadrante 3 (Picco -> Discesa),HOLD,0,5.741891257671644,LOW
2015-11-19,76.14,76.96,76.02,58.2883,7899500,0.6175400000000053,0.11562686590367,0.6216912448427707,Quadrante 3 (Picco -> Discesa),HOLD,0,4.439992407829251,LOW
2015-11-20,76.55,76.86,75.68,57.9824,9533200,0.5640624999999986,-0.0935713926377548,0.5665408951818275,Quadrante 2 (Salita -> Picco),BUY,1,3.865116445735177,LOW
2015-11-23,75.82,76.06,75.4,58.0971,9421300,0.5151325,-0.26120751541906767,0.5332199361367939,Quadrante 2 (Salita -> Picco),HOLD,1,3.5119015979140675,LOW
2015-11-24,75.62,76.69,75.61,58.4642,7086800,0.47510000000000474,-0.4067925255931983,0.5173157413260852,Quadrante 2 (Salita -> Picco),HOLD,1,3.365034342258541,LOW
2015-11-25,76.53,76.74,75.88,58.0436,4266500,0.38254999999998773,-0.6418569164737468,0.4775991971296794,Quadrante 2 (Salita -> Picco),HOLD,1,3.044209539474699,LOW
2015-11-27,75.89,76.37,75.5,57.8906,2390100,0.37813249999999243,-0.8531168920405651,0.5749855342406412,Quadrante 2 (Salita -> Picco),HOLD,1,3.7942612440657433,LOW
2015-11-30,75.58,75.81,74.84,57.233,8935700,0.38683250000000413,-0.8918318047290303,0.6159875522299203,Quadrante 2 (Salita -> Picco),HOLD,1,4.150490716034644,LOW
2015-12-01,74.87,76.22,74.87,58.0742,8391700,0.37131000000000824,-0.992000731015046,0.678791720611148,Quadrante 2 (Salita -> Picco),HOLD,1,4.70764198273337,LOW
2015-12-02,75.73,76.46,75.65,57.9595,8104200,0.3681750000000008,-1.0252430750001877,0.7095419281489167,Quadrante 2 (Salita -> Picco),HOLD,1,5.083740341879233,LOW
2015-12-03,75.83,76.2,75.17,57.9212,11177800,0.3047624999999954,-1.1692447426276296,0.7797488997250591,Quadrante 2 (Salita -> Picco),HOLD,1,5.706701787033812,LOW
2015-12-04,75.98,77.9,75.92,59.5195,11961000,0.34963750000000715,-1.1917276323148047,0.9448246503770628,Quadrante 2 (Salita -> Picco),HOLD,1,7.068750670654292,LOW
2015-12-07,77.54,78.5,77.54,59.9325,9460000,0.45759250000001117,-1.127022843415206,1.0657784510608694,Quadrante 2 (Salita -> Picco),HOLD,1,8.161542084961173,LOW
2015-12-08,77.68,78.5,77.35,59.4583,8312700,0.5156699999999859,-1.0843257284327046,1.1030165374538576,Quadrante 2 (Salita -> Picco),HOLD,1,8.528204495127877,LOW
2015-12-09,77.6,78.99,77.44,59.4201,10081900,0.5300050000000027,-1.103311887400921,1.1761108120496835,Quadrante 2 (Salita -> Picco),HOLD,1,9.204301474260498,LOW
2015-12-10,77.91,78.54,77.57,59.4889,8984200,0.5934549999999987,-1.0899272616831046,1.28300763799653,Quadrante 2 (Salita -> Picco),HOLD,1,10.113295574378949,LOW
2015-12-11,77.51,78.33,77.11,59.4813,12280500,0.672770000000007,-1.0789740118354696,1.424656913521108,Quadrante 2 (Salita -> Picco),HOLD,1,11.397041698247978,LOW
2015-12-14,77.63,78.53,77.44,59.8713,12179000,0.8590324999999979,-1.0042554662019383,1.60053283785687,Quadrante 2 (Salita -> Picco),HOLD,1,12.822618941277385,LOW
2015-12-15,78.71,80.0,78.48,60.9343,14113400,1.0458275000000015,-0.9190583206711099,1.7241688013165464,Quadrante 2 (Salita -> Picco),HOLD,1,13.712893639247579,LOW
2015-12-16,79.98,81.23,79.8,61.9361,14102600,1.3053949999999972,-0.8052141226897525,1.883804102361688,Quadrante 2 (Salita -> Picco),HOLD,1,14.861897441306295,LOW
2015-12-17,80.98,81.03,80.2,61.4008,9864200,1.525260000000003,-0.6349192619173707,1.894451491155908,Quadrante 2 (Salita -> Picco),HOLD,1,14.695802199008687,LOW
2015-12-18,79.95,80.12,78.13,59.749,21342100,1.4855000000000018,-0.5580388450813338,1.7511592261148259,Quadrante 2 (Salita -> Picco),HOLD,1,13.474583014817162,LOW
2015-12-21,78.63,78.98,78.15,60.376,9105800,1.4931425000000118,-0.5504663631803659,1.7519375451340184,Quadrante 2 (Salita -> Picco),HOLD,1,13.586203449775063,LOW
2015-12-22,79.16,79.75,78.88,60.8731,9872200,1.5942825000000056,-0.5000334512785787,1.8167084276748777,Quadrante 2 (Salita -> Picco),HOLD,1,14.304517845953852,LOW
