date,open,high,low,close,volume,oscillator,phase,amplitude,phase_quadrant,signal,position,signal_strength,confidence
2015-10-12,201.42,201.76,200.91,170.7566,56395600,0.3716800000000262,1.5511607515026762,18.930124503118435,Quadrante 3 (Picco -> Discesa),HOLD,0,17.926321762389396,LOW
2015-10-13,200.65,202.16,200.05,169.6805,88038700,1.5954750000000217,1.4306280229097232,11.419924329741534,Quadrante 3 (Picco -> Discesa),HOLD,0,10.70582715995052,LOW
2015-10-14,200.18,200.87,198.94,168.867,99106200,2.447982499999995,1.3595706703946882,11.676048514000748,Quadrante 3 (Picco -> Discesa),HOLD,0,10.952071367468918,LOW
2015-10-15,200.08,202.36,199.64,171.4599,134142200,3.417605000000009,1.2118855874078809,9.729709184079404,Quadrante 3 (Picco -> Discesa),HOLD,0,9.080811973341143,LOW
2015-10-16,202.83,203.29,201.92,172.2395,114580100,4.110845000000012,1.172734104608355,10.604997802511777,Quadrante 3 (Picco -> Discesa),HOLD,0,18.925141958710416,LOW
2015-10-19,202.5,203.37,202.13,172.3242,76523900,4.387012499999997,1.1100901791085074,9.867751994760043,Quadrante 3 (Picco -> Discesa),HOLD,0,17.696235532723158,LOW
2015-10-20,202.85,203.84,202.55,172.1039,78448500,4.528732500000018,1.119768231166975,10.389597359374697,Quadrante 3 (Picco -> Discesa),HOLD,0,18.848371909296812,LOW
2015-10-21,203.61,203.79,201.65,171.0362,102038000,4.406110000000012,1.0954650510613655,9.628042070498333,Quadrante 3 (Picco -> Discesa),HOLD,0,17.70610727236733,LOW
2015-10-22,202.98,205.51,201.85,173.9257,174911700,4.4992024999999956,1.0841743420396375,9.621026356332704,Quadrante 3 (Picco -> Discesa),HOLD,0,17.769919666673115,LOW
2015-10-23,207.25,207.95,206.3,175.8322,144442300,4.8264774999999815,1.0143897679204072,9.138663660507433,Quadrante 3 (Picco -> Discesa),HOLD,0,16.81468827589692,LOW
2015-10-26,207.3,207.37,206.56,175.4001,69033000,5.105454999999978,0.9990736518034808,9.43564758421998,Quadrante 3 (Picco -> Discesa),HOLD,0,17.320088277114557,LOW
2015-10-27,206.2,207.0,205.79,175.0611,77905800,5.432690000000008,0.9382286709784157,9.188986353467978,Quadrante 3 (Picco -> Discesa),HOLD,0,16.79273536774566,LOW
2015-10-28,207.0,208.98,206.21,177.0524,135906700,5.866285000000005,0.9209808383844349,9.695705677365634,Quadrante 3 (Picco -> Discesa),HOLD,0,17.746202944366644,LOW
2015-10-29,208.35,209.27,208.21,176.9507,90525500,6.109672500000016,0.8961617129699369,9.781548142610266,Quadrante 3 (Picco -> Discesa),HOLD,0,17.985361970721552,LOW
2015-10-30,209.06,209.44,207.74,176.1881,131076900,6.220855000000029,0.9087774578216495,10.119975303468996,Quadrante 3 (Picco -> Discesa),HOLD,0,18.68605192436131,LOW
2015-11-02,208.32,210.62,208.17,178.2725,86270800,6.417517500000031,0.8800704167477071,10.073063933094861,Quadrante 3 (Picco -> Discesa),HOLD,0,18.69691100299981,LOW
2015-11-03,209.97,211.66,209.7,178.7894,95246100,6.776977500000015,0.873147506615393,10.549177385319402,Quadrante 3 (Picco -> Discesa),HOLD,0,19.62150282321074,LOW
2015-11-04,211.35,211.5,209.72,178.2471,96224500,7.146897500000023,0.8595306658927024,10.948182118692156,Quadrante 3 (Picco -> Discesa),HOLD,0,20.386969159012942,LOW
2015-11-05,210.43,210.98,209.09,178.0692,78408700,7.2368649999999946,0.8958368424487835,11.581472898140015,Quadrante 3 (Picco -> Discesa),HOLD,0,21.598047861172947,LOW
2015-11-06,209.74,210.32,208.46,177.976,110471500,7.147947500000043,0.9191971786335138,11.786371684375455,Quadrante 3 (Picco -> Discesa),HOLD,0,21.965877457007874,LOW
2015-11-09,209.31,209.49,206.95,176.3152,131008700,6.962297500000005,0.9588584411673786,12.119835874518975,Quadrante 3 (Picco -> Discesa),HOLD,0,22.49147832885829,LOW
