date,open,high,low,close,volume,oscillator,phase,amplitude,phase_quadrant,signal,position,signal_strength,confidence
2015-10-08,73.68,74.44,73.49,56.3897,6856600,1.0745575000000045,-1.4376981959450854,8.09730920834755,Quadrante 2 (Salita -> Picco),BUY,1,34.36046996372481,MEDIUM
2015-10-09,74.59,74.91,74.32,56.4503,6880100,1.2363700000000009,-1.3426650440805874,5.466850967779657,Quadrante 2 (Salita -> Picco),HOLD,1,23.073538060094016,LOW
2015-10-12,74.69,74.76,73.91,56.3366,6255900,1.454842499999998,-1.3093201564889718,5.627868765672803,Quadrante 2 (Salita -> Picco),HOLD,1,23.764443124490768,LOW
2015-10-13,74.24,74.28,73.66,56.1699,8390200,1.6204475000000045,-1.22592805755226,4.793192329717722,Quadrante 2 (Salita -> Picco),HOLD,1,20.18296216847439,LOW
2015-10-14,74.21,74.61,73.9,56.2457,8479200,1.8099275000000006,-1.1915952514886592,4.889338254094272,Quadrante 2 (Salita -> Picco),HOLD,1,40.00124959360968,MEDIUM
2015-10-15,74.64,74.84,74.03,56.2911,8607400,1.9829250000000016,-1.1029337966448973,4.396928844172482,Quadrante 2 (Salita -> Picco),HOLD,1,35.91987712137485,MEDIUM
2015-10-16,74.72,75.04,74.34,56.7686,9578900,2.1521274999999918,-1.0604754633793325,4.4059689654275624,Quadrante 2 (Salita -> Picco),HOLD,1,35.957891137619114,MEDIUM
2015-10-19,74.65,75.19,74.53,56.9657,7292200,2.2362599999999873,-0.9706994338543267,3.959927642048658,Quadrante 2 (Salita -> Picco),HOLD,1,32.2076766781132,MEDIUM
2015-10-20,74.87,75.05,74.16,56.4124,8531900,2.2140950000000075,-0.9585394207632639,3.8525036855511448,Quadrante 2 (Salita -> Picco),HOLD,1,31.369234261717065,MEDIUM
2015-10-21,73.75,74.54,73.5,56.277,8302100,2.1438725000000076,-0.9175698775816024,3.5275462571079435,Quadrante 2 (Salita -> Picco),HOLD,1,28.833683979586795,LOW
2015-10-22,73.86,75.61,73.61,57.2406,14080900,2.141370000000002,-0.934167328082394,3.6020396116299263,Quadrante 2 (Salita -> Picco),HOLD,1,29.648324367935025,LOW
